total_penduduk;umk;rata_ak;ipm_pr;pengeluaran_kapita;PPKS
1719504;1841209;3.71;64.61;10274;326422
1679124;1589000;3.70;66.75;11240;220085
925193;1655200;4.02;66.86;9786;133413
918219;1490000;3.83;64.98;9160;100609
1195092;1560000;3.73;67.48;8757;140104
716477;1573000;3.45;70.62;10048;115983
787384;1585000;3.68;66.06;10503;80317
1279625;1742000;3.71;67.77;9025;164587
979799;1651650;3.57;72.00;12758;78486
1171411;1661632.35;3.47;73.64;11738;175986
885205;1648000;3.64;75.40;11100;84750
957106;1542000;3.63;67.23;9117;94205
879078;1696000;3.78;74.32;11223;81229
887889;1546492.72;3.47;70.82;12391;75719
1371610;1560000;3.46;65.06;10097;190718
862110;1564000;3.50;61.62;9385;115294
633584;1535000;3.65;64.32;10191;82885
1253299;1585000;3.43;68.93;10190;207771
861430;1892500;4.02;73.06;10979;72154
1240600;1739360;3.81;68.30;10169;163872
1151796;2065490;3.77;68.74;10001;153127
1040629;1900000;3.71;72.62;11807;73901
765594;1557000;3.83;67.91;9142;97790
964106;1929458;3.68;69.64;11257;98376
762377;1749900;3.95;65.35;9203;51880
891892;1721637.55;4.29;67.16;10221;88317
1299724;1588000;4.05;60.52;8186;179977
1437225;1617000;3.93;63.37;9433;169841
1802829;1542000;3.84;60.66;9890;221617
121872;1580000;3.79;77.28;11994;12363
517887;1668700;3.53;79.85;14528;47766
191571;1735930.06;3.62;81.24;15464;11774
1786114;2310087.50;3.79;81.17;14895;95010
304477;1765178.63;4.03;73.25;12312;58737
249003;1630500;3.76;72.91;12830;19306
